X6R8D5	A0A8V1AC92
Q9NQ35	A0A8V0ZWS8
Q9NQ40	A0A8V0YLB1
Q9NQ48	A0A8V0Z0Y9
Q9NQ50	A0A8V0ZZP5
Q9NQ55	A0A8V0X785
Q9NQ66	A0A1D5NZL7
Q9NQ69	Q90881
Q9NQ75	A0A8V0YQK9
Q9NQ79	A0A8V0ZUR4
Q9NQ84	A0A8V1AL54
Q9NQ86	A0A8V0X9I0
Q9NQ87	A0A3Q2UGT4
Q9NQ88	A0A8V1A0T4
Q9NQ89	A0A8V0ZQQ5
Q9NQ94	A0A8V0ZPX5
Q9NQB0	A0A8V0Z7Y0
Q9NQC1	A0A8V0YJE4
Q9NQC3	A0A8V0Z4A4
Q9NQC7	A0A8V0ZJC8
Q9NQC8	A0A8V0ZPQ4
Q9NQE9	A0A1L1RRE8
Q9NQG5	A0A8V0YTG0
Q9NQG6	E1BVG4
Q9NQG7	A0A8V0ZN81
Q9NQH7	F1NH26
Q9NQI0	F1N991
Q9NQL2	A0A8V0XID0
Q9NQM4	A0A8V0YP15
Q9NQP4	F1NP43
Q9NQQ7	A0A8V0YUY1
Q9NQR1	A0A8V0ZUS5
Q9NQR4	A0A8V0XVD3
Q9NQR9	F1NTA5
Q9NQS1	A0A8V0ZNL5
Q9NQS3	F1NKK8
Q9NQT4	A0A8V0XXJ3
Q9NQT5	A0A8V0Y2R0
Q9NQT8	A0A8V0YGI0
Q9NQU5	A0A8V0ZUC6
Q9NQV5	A0A8V0ZK23
Q9NQV6	A0A8V0ZSB2
Q9NQV8	A0A8V0X7C1
Q9NQW1	A0A8V0ZFZ7
Q9NQW6	A0A8V0YR64
Q9NQW7	A0A8V0ZD89
Q9NQW8	A0A8V0Y8D1
Q9NQX0	A0A8V0XA22
Q9NQX1	A0A8V0XH95
Q9NQX3	Q9PW38
Q9NQX4	A0A8V0ZMK4
Q9NQX5	A0A8V1AKF6
Q9NQX7	A0A8V0ZVX0
Q9NQY0	A0A8V0ZCC1
Q9NQZ2	A0A3Q2U489
Q9NQZ6	A0A8V0YQT9
Q9NQZ7	A0A8V0ZPA6
Q9NR00	E1C6H3
Q9NR09	A0A8V0XP61
Q9NR12	Q679P3
Q9NR19	A0A8V0ZV64
Q9NR21	A0A1D5P5E7
Q9NR22	F1NJK8
Q9NR23	Q98950
Q9NR28	A0A8V1AAG0
Q9NR30	A0A8V0ZUQ0
Q9NR31	A0A8V0ZRZ2
Q9NR33	A0A8V1AEV1
Q9NR34	F1P0Z9
Q9NR45	Q5ZMH8
Q9NR46	Q5ZJ81
Q9NR48	A0A8V1AKA7
Q9NR50	A0A8V1A9P4
Q9NR55	A0A3Q2U701
Q9NR56	A3F956
Q9NR61	A0A8V0ZHH9
Q9NR63	F1NZL3
Q9NR64	A0A8V0X416
Q9NR71	A0A8V0ZPL7
Q9NR80	A0A8V1A484
Q9NR82	A0A8V0X9N9
Q9NR99	A0A8V0XBP9
Q9NRA1	Q9I946
Q9NRA2	A0A8V0XBP6
Q9NRA8	A0A8V0ZTU2
Q9NRB3	A0A8V0ZBF5
Q9NRC6	A0A8V0Z6P5
Q9NRC9	Q9I8P6
Q9NRD0	Q5ZI32
Q9NRD5	A0A8V0Y0M6
Q9NRE2	A0A8V0YUX8
Q9NRF8	Q5F3Z1
Q9NRF9	F1P2L0
Q9NRG0	A0A8V0XVG9
Q9NRG1	E1C5K1
Q9NRG9	A0A8V1A1E1
Q9NRH1	A0A8V0Z4W9
Q9NRH2	A0A1D5P8A9
Q9NRI5	A0A8V0XSE4
Q9NRJ4	A0A8V0XD77
Q9NRK6	A0A8V0XY06
Q9NRL2	A0A8V0XR86
Q9NRM0	A0A8V0Y3Z6
Q9NRM2	A0A8V0XAA2
Q9NRM7	A0A3Q2UI52
Q9NRN5	Q25C36
Q9NRN7	A0A8V0XPN9
Q9NRN9	A0A8V0ZWR2
Q9NRP0	Q5ZJR3
Q9NRP2	A0A8V0XYS8
Q9NRP4	A0A8V0XH79
Q9NRP7	A0A8V0ZKM9
Q9NRQ5	R4GG67
Q9NRR1	A0A8V0Y8I0
Q9NRR3	A0A8V0Y6B0
Q9NRR4	A0A8V0YGC5
Q9NRR5	A0A1D5P624
Q9NRR6	A0A8V1AF93
Q9NRS4	A0A8V0ZX70
Q9NRU3	A0A8V0Z601
Q9NRW4	A0A8V0Y4U4
Q9NRW7	A0A8V1AGN0
Q9NRX1	Q5F414
Q9NRX2	F1NHT8
Q9NRX4	A0A3Q3AHU9
Q9NRX5	A0A8V0YP13
Q9NRY2	Q5ZJ32
Q9NRY4	A0A8V0Y423
Q9NRY5	A0A8V0YB38
Q9NRZ5	A0A8V0XKM8
Q9NRZ7	A0A1D5PUB7
Q9NRZ9	A0A8V0ZLT5
Q9NS00	Q5F3G7
Q9NS18	A0A8V0YF58
Q9NS23	A0A8V1AF66
Q9NS28	E1C5A6
Q9NS37	A0A8V0Y0K0
Q9NS39	A0A8V0XNS2
Q9NS40	A0A8V0ZMR4
Q9NS56	A0A8V0XIL9
Q9NS61	A0A8V0Z9Q8
Q9NS62	A0A8V0X6B2
Q9NS64	A0A8V0YBH3
Q9NS66	A0A3Q2U4U2
Q9NS68	A0A8V0XRR2
Q9NS69	A0A8V0YNP8
Q9NS71	A0A8V0ZCH2
Q9NS73	A0A8V0XDJ2
Q9NS75	A0A3Q2U9B6
Q9NS82	A0A8V1A196
Q9NS84	A0A1D5P3Q1
Q9NS85	E1C7J1
Q9NS86	A0A8V0XMZ9
Q9NS87	A0A8V0Z5V9
Q9NS91	A0A8V0Z470
Q9NS93	A0A1D5PTV5
Q9NS98	A0A8V1AC48
Q9NSA3	A0A8V0YSX0
Q9NSB8	A0A8V0Z3J0
Q9NSC2	A0A8V0ZX04
Q9NSC5	A0A8V1AA25
Q9NSD5	A0A8V0YDG2
Q9NSD7	A0A8K1AZH9
Q9NSD9	Q5ZJ61
Q9NSE4	Q5ZKA2
Q9NSG2	A0A8V0YNH9
Q9NSI2	A0A8V0YQL3
Q9NSI5	A0A8V0YEJ1
Q9NSI6	A0A8V0YI94
Q9NSI8	A0A8V0XPN2
Q9NSK0	A0A8V0Z790
Q9NSK7	F1NQ90
Q9NSN8	A0A8V0XI59
Q9NSV4	A0A8V0XCP9
Q9NSY1	E1C764
Q9NSY2	F1NPH6
Q9NT22	A0A8V0ZQF3
Q9NT62	A0A8V0XSJ9
Q9NTG1	A0A8V0ZU74
Q9NTG7	A0A8V0ZEZ5
Q9NTI2	A0A8V0XR09
Q9NTI7	A0A8V1AAX0
Q9NTJ3	A0A8V0X9N5
Q9NTJ4	A0A8V0ZHZ5
Q9NTJ5	A0A8V0Z8V8
Q9NTK5	Q5ZM25
Q9NTM9	A0A8V0ZPN1
Q9NTN3	A0A8V0ZZL3
Q9NTN9	A0A8V0ZDU4
Q9NTU7	A0A8V0YR86
Q9NTW7	A0A8V0YRV7
Q9NTX7	A0A8V0XC69
Q9NTX9	A0A8V1A5S9
Q9NTZ6	A0A1D5PFX6
Q9NU02	A0A8V0Z5B9
Q9NU19	A0A8V1ACE8
Q9NU22	A0A8V0XG49
Q9NU23	A0A8V0XK83
Q9NU53	F1NAD1
Q9NUA8	A0A8V0Z0E4
Q9NUB1	F1NLR1
Q9NUC0	A0A8V0Z9C3
Q9NUD7	A0A8V0YP54
Q9NUD9	A0A8V0YN86
Q9NUE0	A0A8V0YME7
Q9NUG4	A0A8V0YT02
Q9NUG6	A0A8V0YLB0
Q9NUI1	F1NG68
Q9NUJ1	F1NKJ7
Q9NUJ3	A0A8V0ZIR8
Q9NUJ7	A0A8V0X6L5
Q9NUK0	A0A3Q2U027
Q9NUL3	A0A8V0XED3
Q9NUL7	A0A8V1A4K4
Q9NUM4	A0A1D5PUI5
Q9NUN7	A0A8V0XF14
Q9NUP1	A0A8V0XQL1
Q9NUP7	A0A8V0ZWQ4
Q9NUQ2	A0A8V0XBQ5
Q9NUQ3	F1NI14
Q9NUQ6	A0A8V0ZQI9
Q9NUQ8	A0A8V0YXV2
Q9NUQ9	A0A8V0XSR7
Q9NUT2	A0A8V1AF39
Q9NUU6	A0A8V0X8L5
Q9NUV7	A0A8V0Z5D6
Q9NUW8	A0A8V0YVD4
Q9NV12	A0A8V0YDJ2
Q9NV23	A0A8V0XHR8
Q9NV29	A0A8V1ABR0
Q9NV31	A0A3Q2U8J0
Q9NV35	A0A8V0XEZ2
Q9NV56	F1NRH0
Q9NV58	A0A8V0YCS7
Q9NV64	A0A8V1A5G3
Q9NV70	A0A8V0YJX7
Q9NV92	Q5F3V5
Q9NVA1	A0A8V0ZJK3
Q9NVA2	A0A8V0XBE4
Q9NVA4	Q5ZMP3
Q9NVC3	A0A8V0ZCK5
Q9NVD3	A0A8V0YPK3
Q9NVD7	A0A8V0ZN45
Q9NVE4	A0A8V0X0C5
Q9NVE5	A0A8V0Y882
Q9NVE7	A0A8V0Z4N5
Q9NVF7	A0A8V0Z3H2
Q9NVF9	F1NL82
Q9NVG8	A0A8V1AH51
Q9NVH0	A0A8V0Z6W7
Q9NVH1	A0A3Q2U8D9
Q9NVH6	Q5F4B3
Q9NVI1	A0A8V0YNA7
Q9NVJ2	F1P0Z7
Q9NVK5	Q5ZKJ4
Q9NVL8	A0A8V0Z020
Q9NVM1	A0A8V0YIC5
Q9NVM6	A0A8V0ZV47
Q9NVM9	F1P1V8
Q9NVN3	A0A1D5PF61
