A0PK11	A0A2I3RH01
O75351	A0A2I3RLZ5
P56696	A0A2I3RRL2
Q6FI13	A0A2I3RS50
Q4G0F5	A0A2I3RSX4
Q12841	A0A2I3RTN5
Q9BVJ6	A0A2I3RZ40
P22570	A0A2I3S4F8
O75323	A0A2I3S6C3
P55075	A0A2I3SF78
Q8NDT2	A0A2I3STD1
Q8TAG6	A0A2I3SX56
Q8IX15	A0A2I3SY96
Q9NSA0	A0A2I3T0C1
Q96GF1	A0A2I3T5A2
Q9BQY9	A0A2I3T6Q5
Q01970	A0A2I3T8F7
Q05D60	A0A2I3TBY3
Q9H324	A0A2I3TUP0
Q16720	A0A2J8IPN2
Q8NEE6	A0A2J8IQK3
Q5VT98	A0A2J8JT64
Q9NWQ4	A0A2J8PK46
P11310	A5A6I0
A8MUM7	C4XV99
O15303	C7G3N0
Q9NUW8	G2HG04
Q8TEY7	H2PZ96
Q8NBP0	H2Q1C0
Q5SVJ3	H2Q1F6
O95231	H2Q2T4
Q4G0T1	H2Q2T9
Q8NGF1	H2Q2Y6
Q8NH76	H2Q314
Q16581	H2Q5D2
Q9NVK5	H2Q5M7
Q99571	H2Q724
Q9UKV3	H2Q801
Q96L21	H2Q886
Q9UKY4	H2Q8P3
P24468	H2QA47
Q86XT9	H2QAW0
P49711	H2QBB9
P60520	H2QBJ0
P09067	H2QDC1
Q63HM1	H2QDZ4
Q96B54	H2QGI0
P60321	H2QGM4
Q99742	H2QGN8
Q8IV63	H2QGX3
Q8N2C7	H2QJB8
Q96BY6	H2QJJ2
Q5TEU4	H2QJZ4
Q9ULW0	H2QK54
Q9BX40	H2QKQ1
Q9H1K4	H2QL72
Q96AA3	H2QMS8
Q9NYL5	H2QT44
Q8NHG8	H2QUD0
Q99983	H2QXG5
Q9NXF1	H2QXL1
Q9Y689	H2R0M4
P13945	H2R1M3
Q5T6F2	H2R2C1
O75771	H2R412
P98169	H2R4P8
O00204	H2R5X6
Q9C0K0	H2R971
Q8N1A0	H2RBN3
P11717	K7B5K7
Q7Z4I7	K7B861
Q9BVC3	K7BHU9
Q8N4V1	K7C1A5
Q64LD2	K7C3U7
Q9Y6I9	K7CBB3
Q7Z4V5	K7CBJ3
Q9HCK5	K7CEM5
Q53HC9	K7D5S1
Q9BRX5	K7DJX2
Q8IVQ6	K7DRL1
O95139	Q0MQE1
Q9H158	Q5DRE2
Q96IZ2	A0A2I3RF37
P0DME0	A0A2I3RQV3
Q14964	A0A2I3RT35
Q9Y2A4	A0A2I3RXQ4
Q96SA4	A0A2I3RYE6
Q9UKF7	A0A2I3RYP6
P11464	A0A2I3S6J1
Q6T4R5	A0A2I3S9I8
Q7Z2W7	A0A2I3SDF4
Q6P1K2	A0A2I3TL01
Q6ZMJ4	A0A2J8KA73
Q6UXU6	A0A2J8MG44
Q02153	A0A2J8MUV1
P18621	A0A2J8NEA5
Q9H227	A0A2J8NW19
Q9Y6S9	A0A2J8PJU5
O60687	A3FEK5
P53350	G2HFG8
P31689	G2HHH7
Q6ZV89	H2PY90
Q96A09	H2PYE9
Q9UNY4	H2PZS1
Q16695	H2PZV4
Q9NSE4	H2Q157
Q96A46	H2Q2E6
Q8NGJ4	H2Q2Z2
Q8WWB5	H2Q4S1
A2RU30	H2Q652
Q9Y6H3	H2Q6D0
Q9H7H0	H2Q7X3
P61803	H2Q7Y9
Q9UM01	H2Q7Z2
Q9BVV6	H2Q8D9
P49755	H2Q8M7
Q15370	H2QAE2
Q96A32	H2QAX2
Q9NXF8	H2QBM8
O75973	H2QD82
P56703	H2QD96
P47211	H2QEQ7
Q96MG2	H2QEW2
P40939	H2QHK4
Q16678	H2QHS0
A1KXE4	H2QIQ8
P49441	H2QJ55
P10523	H2QJM8
A1Z1Q3	H2QJZ6
Q9UM82	H2QKJ9
P98073	H2QKV6
Q8WYR4	H2QL30
Q8IWD4	H2QLF3
P0C7P4	H2QLR0
Q8N4C7	H2QMZ0
P15088	H2QNJ6
P26022	H2QNM9
P11766	H2QPX5
Q5XG87	H2QQM1
Q8IXY8	H2QTI9
Q9H2A2	H2QTS3
O15354	H2QVB0
Q69YH5	H2QVX4
Q8TDY2	H2QW57
P15538	H2QWT4
Q6PI48	H2R3I4
P85037	H2R3X7
O00358	H2R467
Q8WTU2	H2R585
Q5CZA5	H2R5T9
Q9ULX9	H2R6Z3
O75600	H2R6Z4
Q9H2I8	H2R7N4
Q96L33	H2R8G9
Q03721	H2R8Q5
Q9NRC9	H2R939
B2RV13	H2RID6
Q13569	K6ZC87
Q15691	K7ARF5
Q9H582	K7B3T0
O00308	K7BK39
Q9NVA4	K7C5E2
O14964	K7DRH9
Q96PH6	Q30KK9
A6NC05	A0A2I3RGI0
Q13946	A0A2I3RKX4
Q9GZQ6	A0A2I3RW10
O60613	A0A2I3RY83
Q8TDB8	A0A2I3S6B9
Q86V40	A0A2I3SEZ8
Q5SSJ5	A0A2I3SFQ8
A6NKG5	A0A2I3SJ63
Q9H6Z4	A0A2I3T4L2
P14920	A0A2I3T6D7
Q96P68	A0A2I3T9W0
O95319	A0A2I3TA86
Q9BZR6	A0A2I3TEJ8
Q99643	A0A2I3TEK6
Q15782	A0A2I3TG97
P10242	A0A2I3TGC2
A0A1B0GX68	A0A2I3TN66
Q9BYE3	A0A2I3TWA9
Q96NN9	A0A2J8IQB9
P04406	A0A2J8JEW8
Q14916	A0A2J8JQC3
P54852	A0A2J8K237
K7EJ46	A0A2J8LAE4
Q6J9G0	A0A2J8QQJ8
P27469	H2Q121
O15121	H2Q174
Q8N2M4	H2Q399
P30044	H2Q3Z9
Q9NQ88	H2Q585
Q7M4L6	H2Q9C9
Q86WA8	H2QB22
Q9P2A4	H2QDD0
P63252	H2QDR5
Q9BVV7	H2QEP7
Q149M9	H2QFQ0
Q9BTD8	H2QG34
P15151	H2QGJ9
Q8IYV9	H2QGS4
A6NC51	H2QH59
Q9NRX1	H2QI04
Q8WY91	H2QJR7
Q14149	H2QL01
P54922	H2QN57
Q96QV1	H2QQ84
P42262	H2QQC5
Q8WVE6	H2QR23
C9JQI7	H2QRA7
O60383	H2QRG9
Q8TED9	H2QRR6
Q02094	H2QT55
P08263	H2QT69
Q9UBI9	H2QTU3
Q9Y6E2	H2QU76
Q7L2J0	H2QV26
Q5VST6	H2QXC4
Q8N4J0	H2QXC9
Q8NHG7	H2QZD5
Q9UJ72	H2R048
Q8WWY8	H2R0M0
Q96D09	H2R292
Q9Y5N1	H2R2N9
Q5THJ4	H2R3T3
P13164	H2R5P4
Q15049	H2R6X5
Q587J8	H2R752
Q5SRN2	H2R7F9
A8MZG2	H2RBR8
A8MTZ7	H2RGS1
Q9NWD9	H2RII1
A0FGR9	K6ZR51
Q92917	K7A3T9
Q96BF6	K7APV9
P50748	K7BG50
P08572	K7C8W0
Q9H213	K7CDF1
Q6P3X3	K7CEF2
P50416	K7D636
Q9HCB6	K7D759
Q16394	K7DAN3
Q92793	K7DBC8
Q99705	Q5IJ49
P02766	Q5U7I5
Q3ZCM7	Q8WP14
Q7Z353	A0A2I3RBE6
P0CG12	A0A2I3RGG8
Q7Z4V0	A0A2I3RPG9
P17927	A0A2I3RSN6
P41182	A0A2I3RU44
A0A0K2S4Q6	A0A2I3S4D9
Q7Z4G1	A0A2I3S6X3
P49908	A0A2I3SB67
Q96DT5	A0A2I3SDD3
Q8N819	A0A2I3T3Y3
P42681	A0A2I3T8H3
Q7Z442	A0A2I3TC87
Q9BQE6	A0A2I3TEI6
Q9UPW0	A0A2I3TI48
Q53QV2	A0A2I3TK64
O14976	A0A2I3TPA9
P20962	A0A2J8JEM2
Q5HYK9	A0A2J8JLL1
Q8NHY6	A0A2J8JLM8
P42679	A0A2J8JQT2
Q8NER1	A0A2J8KR40
Q06141	A0A2J8L5B5
B2RXH4	A0A2J8LCA9
Q2M1K9	A0A2J8MX30
O14921	A0A2J8N697
Q9UER7	A0A2J8NYK5
Q96BQ1	A0A2J8P7L1
Q9BYS8	A0A2J8PAE8
P25705	A5A6H5
Q53HL2	G2HI31
P84077	G2HIU2
Q9Y4U1	H2PYX3
Q8NI35	H2PZ54
