Category	Org1_ID	Org2_ID	Rank	K_Expected
OtO	Q9UPV9	Q6PD31	1	1
OtO	Q9UPW0	Q8BUR3	1	1
OtO	Q9UPW5	Q641K1	1	1
OtO	Q9UPW6	Q8VI24	1	1
OtO	Q9UPW8	Q4KUS2	1	1
OtO	Q9UPX0	E9PZ19	1	1
OtO	Q9UPX6	Q8K3V7	1	1
OtO	Q9UPX8	Q80Z38	2	1
OtO	Q9UPY3	Q8R418	1	1
OtO	Q9UPY5	Q9WTR6	1	1
OtO	Q9UPY6	Q8VHI6	1	1
OtO	Q9UPY8	Q6PER3	1	1
OtO	Q9UPZ3	P59438	1	1
OtO	Q9UPZ6	Q69ZU6	1	1
OtO	Q9UPZ9	Q9JKV2	1	1
OtO	Q9UQ03	Q8BH44	1	1
OtO	Q9UQ05	A2A5F7	1	1
OtO	Q9UQ07	Q9WVS4	1	1
OtO	Q9UQ10	Q9DBB8	1	1
OtO	Q9UQ13	O88520	1	1
OtO	Q9UQ16	Q8BZ98	1	1
OtO	Q9UQ26	Q9EQZ7	1	1
OtO	Q9UQ35	Q8BTI8	1	1
OtO	Q9UQ49	Q9JMH7	1	1
OtO	Q9UQ52	Q9JMB8	1	1
OtO	Q9UQ53	Q812F8	1	1
OtO	Q9UQ80	P50580	1	1
OtO	Q9UQ84	Q9QZ11	1	1
OtO	Q9UQ90	Q3ULF4	1	1
OtO	Q9UQB3	O35927	1	1
OtO	Q9UQB8	Q8BKX1	1	1
OtO	Q9UQC2	Q9Z1S8	1	1
OtO	Q9UQC9	Q8BG22	2	1
OtO	Q9UQD0	Q9WTU3	1	1
OtO	Q9UQE7	Q9CW03	1	1
OtO	Q9UQF2	Q9WVI9	1	1
OtO	Q9UQK1	Q7TMB3	1	1
OtO	Q9UQL6	Q9Z2V6	1	1
OtO	Q9UQM7	P11798	1	1
OtO	Q9UQN3	Q8BJF9	1	1
OtO	Q9UQP3	Q80Z71	1	1
OtO	Q9UQQ1	Q7M758	1	1
OtO	Q9UQQ2	O09039	1	1
OtO	Q9UQR1	Q61624	1	1
OtO	Q9UQV4	Q7TST5	1	1
OtO	Q9Y210	Q61143	1	1
OtO	Q9Y215	O35348	1	1
OtO	Q9Y216	Q9Z2C9	1	1
OtO	Q9Y217	Q8VE11	1	1
OtO	Q9Y219	Q9QYE5	1	1
OtO	Q9Y221	Q9CXK8	1	1
OtO	Q9Y222	Q8CE22	1	1
OtO	Q9Y223	Q91WG8	1	1
OtO	Q9Y224	Q9CQE8	1	1
OtO	Q9Y225	Q8BGI1	1	1
OtO	Q9Y226	Q6A4L0	1	1
OtO	Q9Y227	Q9DBT4	1	1
OtO	Q9Y228	Q8C0G2	1	1
OtO	Q9Y230	Q9WTM5	1	1
OtO	Q9Y231	O88819	1	1
OtO	Q9Y232	Q9WTK2	1	1
OtO	Q9Y233	Q8CA95	651	1
OtO	Q9Y234	Q8VCM4	1	1
OtO	Q9Y235	Q9WV35	1	1
OtO	Q9Y236	Q3TEE9	1	1
OtO	Q9Y237	Q9CWW6	1	1
OtO	Q9Y238	Q8BLA1	2	1
OtO	Q9Y239	Q8BHB0	1	1
OtO	Q9Y240	O88200	1	1
OtO	Q9Y241	Q9JLR9	1	1
OtO	Q9Y242	Q99KJ5	2	1
OtO	Q9Y243	Q9WUA6	1	1
OtO	Q9Y244	Q9CQT5	1	1
OtO	Q9Y247	Q9WTJ8	1	1
OtO	Q9Y248	Q9D600	1	1
OtO	Q9Y250	P60853	1	1
OtO	Q9Y251	Q6YGZ1	1	1
OtO	Q9Y252	Q9DBU5	1	1
OtO	Q9Y253	Q9JJN0	1	1
OtO	Q9Y255	Q8R107	1	1
OtO	Q9Y256	P57791	1	1
OtO	Q9Y257	Q3TBV4	1	1
OtO	Q9Y258	F8VQM2	152	1
OtO	Q9Y259	O55229	1	1
OtO	Q9Y261	P35583	1	1
OtO	Q9Y262	Q8QZY1	1	1
OtO	Q9Y263	P27612	1	1
OtO	Q9Y264	Q9WVH6	1	1
OtO	Q9Y265	P60122	1	1
OtO	Q9Y266	O35685	1	1
OtO	Q9Y267	Q497L9	1	1
OtO	Q9Y271	Q99JA4	1	1
OtO	Q9Y272	O35626	1	1
OtO	Q9Y274	Q8VIB3	1	1
OtO	Q9Y275	Q9WU72	1	1
OtO	Q9Y276	Q9CZP5	1	1
OtO	Q9Y277	Q60931	1	1
OtO	Q9Y278	Q673U1	1	1
OtO	Q9Y279	F6TUL9	1	1
OtO	Q9Y281	P45591	1	1
OtO	Q9Y282	Q9CQE7	1	1
OtO	Q9Y283	O89019	1	1
OtO	Q9Y284	Q6ZWX0	1	1
OtO	Q9Y285	Q8C0C7	1	1
OtO	Q9Y287	O89051	1	1
OtO	Q9Y289	Q5U4D8	1	1
OtO	Q9Y291	Q9D2R8	1	1
OtO	Q9Y294	Q9CQE6	1	1
OtO	Q9Y295	P32233	1	1
OtO	Q9Y296	Q9ES56	1	1
OtO	Q9Y297	Q3ULA2	1	1
OtO	Q9Y2A7	P28660	1	1
OtO	Q9Y2A9	Q5JCS9	1	1
OtO	Q9Y2B0	Q9QXT0	1	1
OtO	Q9Y2B1	Q8VDX6	1	1
OtO	Q9Y2B2	Q5SX19	1	1
OtO	Q9Y2B4	Q9D976	8	1
