W5XKT8	A0A8M9PDM1
Q9BVS4	A0A8M1PFE5
Q9BVS5	A0A8M1P392
Q9BVV6	H6D7E6
Q9BVV7	A0A8N7UVT2
Q9BVV8	A0A0R4ICP9
Q9BVW5	Q6DBR4
Q9BVX2	Q08BL5
Q9BW11	Q7SX95
Q9BW19	A4QNZ0
Q9BW27	Q6DBY0
Q9BW30	E7FG48
Q9BW61	Q7T2A3
Q9BW62	Q5U3S1
Q9BW66	F1RDE3
Q9BW71	Q7SXB4
Q9BW83	Q5PR92
Q9BW85	A8WHR3
Q9BW91	A0A8M1PPR4
Q9BWD1	Q7ZU18
Q9BWF2	Q6TGT1
Q9BWG6	Q2YDS5
Q9BWH6	E7FGQ5
Q9BWJ5	Q6ZM78
Q9BWL3	Q3B7P4
Q9BWP8	Q5U3G1
Q9BWQ8	A0A140LGC1
Q9BWS9	Q7SYK0
Q9BWT1	A0A8M2BET8
Q9BWT3	Q6PGV5
Q9BWT6	Q6DC61
Q9BWU0	A0A8N7UR08
Q9BWU1	A0A8M1QLR0
Q9BWV1	Q8UVD6
Q9BWV3	Q5U3U4
Q9BWV7	A9JRD4
Q9BWW4	A0A8M3AZG7
Q9BWX5	Q9W6U0
Q9BX10	A0A8M1PAI6
Q9BX40	F1Q898
Q9BX46	Q76LC6
Q9BX59	A0A8M1QHB2
Q9BX63	B7ZDD5
Q9BX66	A0A8M9QK79
Q9BX68	A3KP93
Q9BX73	Q6DHN3
Q9BX79	F1RAX4
Q9BX93	F1R147
Q9BXA6	Q1LVI1
Q9BXB1	E7FE13
Q9BXB4	A0A8N7UVT3
Q9BXC1	A0A8M9PUA0
Q9BXC9	Q98SP7
Q9BXD5	Q6NYR8
Q9BXF3	A0A8M2BLL4
Q9BXF9	E7F7G5
Q9BXI9	A0A8N7T7Z3
Q9BXJ0	Q4KMC6
Q9BXJ1	Q566P1
Q9BXJ2	A0A8N7TF68
Q9BXJ5	E7F6Z0
Q9BXJ7	A0A8M9QAN8
Q9BXJ9	A0A0R4I9S5
Q9BXK5	Q1LX53
Q9BXL6	A0A8M9Q0C3
Q9BXL7	A0A8M3B168
Q9BXL8	A0A8M2B7E4
Q9BXM7	Q5PRB2
Q9BXM9	A0A8M2BFY7
Q9BXP2	A2BFP5
Q9BXP5	Q66I22
Q9BXP8	E9QCK7
Q9BXQ6	E7F625
Q9BXR0	Q7SYK1
Q9BXS0	A0A8M3AUN9
Q9BXS4	A9JRX6
Q9BXS5	A0A8M1P5E7
Q9BXS6	A1L2F3
Q9BXT4	Q58EK5
Q9BXT5	A0A8M9QKU6
Q9BXT6	Q08BA5
Q9BXT8	F1R3C5
Q9BXU1	A0A8M3B1N5
Q9BXW4	Q7ZWC0
Q9BXW6	A0A8M9Q392
Q9BXW9	B3DJT4
Q9BXX0	A0A8M1Q7M7
Q9BXY0	Q6NYD4
Q9BXY4	Q5R328
Q9BXY5	A0A8M3ART4
Q9BY08	Q08BG2
Q9BY10	A0A8M6Z1C1
Q9BY11	Q4V920
Q9BY12	A0A8M2BAB5
Q9BY32	A5WVX0
Q9BY41	Q7SXM0
Q9BY44	Q4QRJ7
Q9BY49	Q567C7
Q9BY71	A8WHP9
Q9BY76	A0A8M1NYZ0
Q9BY77	A0A8M3AQ58
Q9BY78	A0A8M2B4F7
Q9BY79	F1QRG7
Q9BY84	F1RDV6
Q9BY89	A0A8M1RDQ1
Q9BYB4	Q5BLC9
Q9BYC8	F1R044
Q9BYC9	Q0P478
Q9BYD1	Q504D1
Q9BYD2	A8E5P5
Q9BYD3	Q503X2
