P52824	A0A0B4KHZ4
Q14CB8	A1ZAW3
Q6NTE8	M9NDA3
P20042	P41375
P30084	Q7JR58
Q9Y2U8	Q7JRE4
Q13823	Q7JXU4
P52298	Q9V3L6
Q9NRW7	Q9VHB5
Q9NVS2	Q9VHQ0
Q5T5A4	Q9VK88
O00303	Q9VN50
Q2TB10	Q9VNI5
O75381	Q9VPB8
Q149N8	Q9VRV2
Q3B7T1	Q9VSP0
P55263	Q9VU38
P28288	Q9VWC8
Q8WUX2	Q9VYK7
Q9Y5B0	Q9W147
P37837	Q9W1G0
P43378	Q9W323
Q8NCN5	Q9W4K8
Q96CW5	Q9XYP8
Q9UPQ8	A1ZAI1
Q7Z3F1	M9PFK5
P62140	P48462
Q13526	P54353
P38117	Q0KHZ6
Q6SZW1	Q6IDD9
Q13561	Q7K2D2
Q86YS7	Q8IMW9
Q9H0R3	Q8IPG2
Q86WC4	Q95SH7
Q9BPZ7	Q9V719
Q9H9C1	Q9VAG4
Q14493	Q9VAN6
Q9BRT9	Q9VBI1
O60502	Q9VDC9
Q8NI22	Q9VDI5
Q9BRA2	Q9VMQ9
Q96SK2	Q9VVF4
Q330K2	Q9VYS5
Q9H1A3	Q9W1H1
Q9NYH9	Q9W397
Q86YB7	A1Z934
P23919	A1ZB29
O00444	O97143
Q15269	Q5U0X8
P14868	Q7K0E6
Q96EY9	Q7K157
O60733	Q7KUD4
Q6NVY1	Q86BP1
P22314	Q8T0L3
O43581	Q9V4C4
Q13569	Q9V4D8
Q9Y3C1	Q9V9U9
Q9P272	Q9VBJ3
Q9H2Y9	Q9VLB3
Q3B726	Q9VM72
O60870	Q9VPH4
Q13889	Q9VPX4
Q9BTW9	Q9VQ78
Q9HAF1	Q9VRN3
P61221	Q9VSS1
Q7Z3V4	Q9VSS9
Q13371	Q9VUR7
O14737	Q9VUZ8
Q8TBB6	Q9VWD3
Q8WYP5	Q9VWE6
Q8TDN6	Q9VZE6
Q53FT3	Q9W0C7
Q16342	Q9W1A3
P25205	Q9XYU1
H3BMG3	A0A0B4LH46
Q8N9W5	A1ZB91
A3KMH1	M9PHH0
Q8IY37	O46072
Q9Y5K1	Q7KPA5
Q08AI6	Q8MRD1
Q9NWX6	Q9V3N8
Q9HCC0	Q9V9A7
Q6UVJ0	Q9VAC8
P16519	Q9VBC7
Q9UH36	Q9VEB5
Q96CS3	Q9VJ58
Q8N6D5	Q9VQI1
Q9UQN3	Q9VRJ5
P55061	Q9VSH3
O94817	Q9VTU1
P13716	Q9VTV9
Q8IV01	Q9VYE1
Q8NEN9	Q9VYR9
Q92521	Q9VZM5
Q92575	Q9Y114
O60299	X2JD14
Q8IWZ8	A0A0B4KF34
Q9H2D1	A1Z7S4
O96015	A1Z8T9
Q8IYR0	A1ZBX0
Q8IZH2	E1JJR3
P05451	M9PFV8
O15067	P35421
Q9UIH9	Q0IGQ2
Q6UXN8	Q7JY62
Q9UHR5	Q7K0K1
Q9NPF5	Q7K3D8
P61964	Q9V3J8
Q8TCS8	Q9V9X7
Q96EW2	Q9VB06
Q92994	Q9VEL2
Q8N2H4	Q9VHP1
O95400	Q9VKV5
Q9Y672	Q9VKX7
P50579	Q9VL89
P47224	Q9VLP3
Q92499	Q9VNV3
Q96EN8	Q9VRA2
Q7L4I2	Q9VXU3
Q12962	Q9XZT7
Q9BQ70	Q9Y109
Q13610	A1Z8D0
Q63HQ2	A1ZA87
Q99622	A8DYT6
P39060	M9ND55
P61313	O17445
Q9Y3E5	O97067
P49848	P49847
P11172	Q01637
Q08945	Q05344
Q9NZJ0	Q24371
O43303	Q2PDW6
Q10471	Q6WV19
Q9UBF6	Q7JWH5
Q5W041	Q7JYM7
Q8TEB1	Q7JYQ4
Q96AB6	Q7KIS4
Q9BXW9	Q8MYL1
Q9Y4W6	Q8T4G5
O75063	Q95T10
Q9Y4X0	Q9VCF0
Q9UJK0	Q9VFA0
Q9NY33	Q9VHR8
P83731	Q9VJY6
Q99447	Q9VK25
Q9GZP4	Q9VK68
Q8N2A8	Q9VKD7
Q96MW5	Q9VKH0
P29692	Q9VL18
Q9NXW9	Q9VL81
P62304	Q9VLV5
Q6NUS6	Q9VMH0
Q9NWB7	Q9VQS5
P46977	Q9VRE0
Q6P3S6	Q9W281
Q9Y6N9	Q9W443
Q15363	Q9W4K0
P78344	A1Z968
O43242	P25161
P62753	P29327
Q8WVS4	Q7JR82
Q15631	Q7JVK6
Q9Y3D9	Q8IP62
Q6L8Q7	Q8IP91
Q9BYR4	Q8IRB2
O95995	Q8MT08
Q86SX6	Q8SXQ5
Q96IJ6	Q8SXU3
Q5VUA4	Q9V468
Q9Y3B8	Q9VCI0
O14981	Q9VF02
O75439	Q9VFF0
Q66K64	Q9VGZ4
P34949	Q9VH77
Q15287	Q9VHC0
A2RU49	Q9VJ68
Q96PV6	Q9VKP5
Q8N5T2	Q9VMT4
Q9NVE7	Q9VMU2
P18077	Q9VNB9
Q9BVG4	Q9VP29
O60725	Q9VU37
Q9NYK5	Q9VUJ0
Q9BYC5	Q9VYV5
Q9H6X4	Q9W073
Q9NRX2	Q9W0S6
Q5UIP0	Q9XZ34
Q6IAN0	Q9Y140
Q9BPX3	A1Z987
Q7Z624	A4V0X6
P0DJ07	Q4QPR8
Q13315	Q5EAK6
Q8IZL8	Q8MS38
Q9NRG7	Q8T0N5
Q09327	Q95RF3
Q07955	Q9V3W7
Q9Y255	Q9V579
P22830	Q9V9S8
P53680	Q9VDC3
Q8NDG6	Q9VF26
Q96KR4	Q9VH19
O15144	Q9VIM5
P07902	Q9VMA2
Q9BY32	Q9VMW7
Q17RS7	Q9VRJ0
Q8NHS3	Q9VS51
Q9H981	Q9VX09
Q9H741	Q9VXT6
Q96RS6	Q9VYT5
O43676	Q9W2E8
P30049	Q9W2X6
Q12882	Q9W374
Q8WVY7	Q9XZ16
Q9Y5P4	Q9Y128
Q9UL33	A1Z8I0
Q7Z410	A8DYG0
Q9NRP2	B7Z0J4
Q69YU5	B7Z0X7
Q68DK7	P50535
P62805	P84040
P04179	Q00637
Q9NRS4	Q7K1E3
Q9UNM6	Q7KMP8
Q86Y56	Q8INF7
Q9NTK5	Q8SWU7
Q70Z53	Q9V3M2
Q9H5V9	Q9V412
Q9Y512	Q9V784
Q9P2W9	Q9VC58
Q9Y2I8	Q9VE73
P40926	Q9VEB1
Q96BZ8	Q9VH00
Q9UP83	Q9VJD3
P49588	Q9VLM8
P30041	Q9VQI7
O96000	Q9VQR2
Q96SZ5	Q9VSD8
Q9H6P5	Q9VUX9
Q7KZF4	Q9W0S7
Q96FN5	A0A126GUN8
O75165	A1Z7S0
Q9BTX3	A1ZA77
Q71RS6	A8Y5A2
O60503	M9PEP2
O75528	M9PHZ1
Q96L03	Q4V459
Q6JEL2	Q6GKZ1
Q8NAV1	Q7JVL3
Q13099	Q7KRS6
Q53RE8	Q7KTP7
Q9BTM9	Q7KU86
Q3YBR2	Q8IMU0
Q8NE18	Q8IQN7
O75208	Q8MKN0
Q147X3	Q95RC0
Q9Y3S2	Q9VAU9
Q8IVF4	Q9VAV5
O75150	Q9VRP9
Q68CL5	Q9VTS1
O95394	Q9VTZ4
Q92665	Q9VUX1
Q53EL6	Q9VY91
P35244	Q9VYW3
Q5F1R6	Q9W0X8
P51398	Q9W253
Q13795	Q9W389
Q9BSF4	Q9W4R8
Q9BUE0	Q9XZT1
Q7Z6Z7	X2JF73
Q9UGK8	M9PAZ8
Q96CW1	O62530
P63220	O76927
Q6P1X5	Q24325
O75717	Q494K2
Q9BVC3	Q4V3Z5
Q9BQ52	Q8MKW7
O00267	Q9V460
Q9H0E9	Q9VAM5
Q9H173	Q9VBV5
Q92542	Q9VC27
Q5VTB9	Q9VCV3
Q9NXE4	Q9VGH0
Q9NVS9	Q9VHZ5
Q9P021	Q9VL77
Q6UXN9	Q9VLN1
Q9Y673	Q9VLQ1
Q9Y5Y2	Q9VPD2
O00429	Q9VQE0
Q8N9T8	Q9VTU0
Q7Z2W9	Q9VVX4
Q8NHV5	Q9VW61
Q96LU5	Q9VXR8
Q8IWW8	Q9W265
Q6HA08	A0A0B4K600
Q9UI46	A0A0B4LG18
Q5SZQ8	A0A6M3Q6L8
P00491	M9PE19
P62306	Q24297
Q9P225	Q5LJP0
Q8N511	Q8SXS0
Q8WVC0	Q94546
Q9NW64	Q95RB1
O76083	Q9I7S6
Q9NZJ5	Q9NIV1
Q96JK2	Q9V9T1
A6NED2	Q9VD63
Q8WWM9	Q9VF15
O00217	Q9VF27
Q8WTW3	Q9VGC3
O95396	Q9VLJ8
Q9ULM3	Q9VLL1
A1L167	Q9VM35
Q7L5D6	Q9VN19
P61962	Q9VR53
Q9UGP8	Q9VS57
Q6UVY6	Q9VUY0
Q16763	Q9VX25
Q9NPA8	Q9VYX1
Q8WZ42	D1YSG0
P00414	P00417
P61247	P55830
Q9NRH2	Q0E981
P27694	Q24492
Q96K76	Q24574
Q9NU23	Q6IGM9
Q96Q15	Q70PP2
Q9NRA8	Q8IH18
Q10469	Q961U0
Q96RK0	Q9U1H0
P40938	Q9U9Q1
Q9HCE9	Q9V416
Q7Z3B4	Q9V6B9
Q9UH92	Q9VB47
Q14181	Q9VB62
Q9BVS4	Q9VBU2
Q6PII3	Q9VEB6
Q53TQ3	Q9VFH4
Q99570	Q9VHH2
Q9H490	Q9VLK0
Q9NUY8	Q9VPW9
Q6ZNW5	Q9VSZ5
Q9NT62	Q9VVS6
Q9NXG2	Q9VZD8
Q9NQQ7	Q9VZP2
P38435	Q9W0C4
Q8N122	Q9W437
Q9NSK7	Q9W569
Q8TEQ8	A1ZB84
Q86VW0	B7Z0I2
Q12874	O46106
Q5TEU4	Q7K1S1
Q92616	Q7PLL6
Q8IUM7	Q9VBH3
Q96JC1	Q9VEA2
Q96GQ5	Q9VJ63
P42345	Q9VK45
O75506	Q9VK90
P29279	Q9VVK3
P55010	Q9VXK6
O43822	Q9VZI4
Q5JPI3	Q9W0T9
O43505	Q9W1A7
Q8IXS2	Q9W212
Q6ZV70	Q9Y0Y7
A3KN83	A8JUV0
O60573	E1JIV5
P56962	M9PEM1
Q13905	O77086
P15880	P31009
Q6V0I7	P33450
Q86WW8	Q4V429
Q5UCC4	Q8IPT0
Q9P2N4	Q8SXB0
Q5TGI0	Q95RI5
Q9BVK8	Q9V3I6
Q96H78	Q9VC40
Q15459	Q9VEP9
Q13228	Q9VFZ4
Q9C0B7	Q9VJ29
Q96SY0	Q9VPY0
Q9NPJ6	Q9VS38
Q96AG4	Q9VT05
P60602	Q9VUM2
Q92845	Q9VZ07
Q6ZUX7	Q9W0X9
Q8NFV4	Q9W3R8
P50750	O17432
P23921	P48591
O14617	P54362
Q8WVM8	Q24179
Q01831	Q24595
Q14739	Q8MLV1
Q9Y399	Q8MSS7
P49755	Q8SXY6
P36551	Q9V3D2
Q15528	Q9V439
Q9H4B6	Q9VCR6
Q86WA6	Q9VD00
Q8IYH5	Q9VM59
O60268	Q9VM87
Q9NUW8	Q9VQM4
Q96A33	Q9VQR9
Q9BQD3	Q9VTY4
P42694	Q9VUH9
O60613	Q9VVJ7
Q5BJD5	Q9VX39
Q96MH6	Q9VZ05
Q8N755	Q9VZF3
Q9BTE6	Q9W4R9
Q96QU8	X2J9Y4
O15228	A0A0B4KHK0
A8MTZ0	E1JIG6
P45985	O61444
Q9Y6V7	Q07886
Q92966	Q7JUY8
Q8N5M9	Q7K1V5
Q16186	Q7K2G1
Q13702	Q7K4Y8
Q9UL25	Q7PLE9
Q8IYB7	Q8IRJ7
O43502	Q8SZ30
P0C2W1	Q9V6L9
Q9H7B2	Q9VEB3
P49356	Q9VEV7
Q6UXV4	Q9VEY5
Q13217	Q9VHA8
Q9C0B9	Q9VJ08
P53384	Q9VJI9
Q6NUQ4	Q9VKM7
Q9BWS9	Q9VLS0
Q2TB18	Q9VPW1
Q9NXC5	Q9VQ89
Q9NPB8	Q9VQU3
O95847	Q9VX14
Q7KZN9	Q9W1F5
Q3T906	A1Z7S7
Q96EL3	A1Z9J6
P21953	Q7PLE6
Q9NVN8	Q8MT06
P82933	Q8SXF0
O75052	Q8SXX4
Q9NX14	Q9V3L7
O95835	Q9VA38
Q9NPE2	Q9VBR0
P16219	Q9VDT1
Q7Z6V5	Q9VEM0
Q9UPZ3	Q9VHN9
Q2M2I8	Q9VJ30
Q9P2J5	Q9VQR8
Q9Y3D0	Q9VTC4
Q53HC9	Q9VTY5
Q9Y3Z3	Q9VVY4
P55084	Q9W1H8
Q8WVK2	Q9W1I6
Q9NZQ3	Q9W3K6
Q52LA3	Q9W482
Q9UBB9	Q9Y103
Q9Y2B2	A0A0B4K6Q5
Q6P2H8	A1Z6G9
Q9P2D0	A1ZAE2
Q9H307	A8JQW3
Q8N9R8	M9PER3
Q5EBL4	O76878
P00846	P00850
P62987	P18101
O75976	P42787
Q07021	Q7JXC4
Q5T5J6	Q7KUW4
P41214	Q9NG60
O15146	Q9V6K3
Q13123	Q9VHH8
Q9Y3B2	Q9VKJ4
P35475	Q9VKJ8
O00255	Q9VM47
O14653	Q9VRL2
Q6NXT1	Q9VT59
Q9P086	Q9VVS4
Q8NFI3	Q9VX51
Q15386	Q9W196
Q8NEB9	Q9W1M7
Q96GC9	Q9W2S1
Q08J23	Q9W4M9
O75663	Q9W5W6
Q5SRE5	A0A0B4K859
P08708	P17704
Q96QK8	Q0E8W6
Q96HA8	Q7K2Y9
Q5QJ74	Q7K549
Q9Y6R4	Q8MSQ4
Q86UD1	Q9NLA6
Q9H7Z7	Q9V420
Q99633	Q9V437
Q9Y5J1	Q9V7P1
Q9BV20	Q9V9X4
Q9P0P8	Q9VAX9
O75934	Q9VAY6
P61353	Q9VBN5
P50336	Q9VC52
Q5SRE7	Q9VGY8
Q9Y3I0	Q9VIW7
O15033	Q9VQ67
Q9NY35	Q9VRM3
Q9Y5U9	Q9VTE1
Q6PCD5	Q9VV99
P35249	Q9VX15
Q9H0H0	Q9VX31
Q9NS69	Q9VZL1
Q9BTV6	Q9W3X3
Q9UBF8	A0A4D6K881
O95363	O16129
P61160	P45888
P08910	Q24093
A0PJW6	Q7JW07
P51798	Q7JZ25
P40855	Q8IP97
Q9H8V3	Q8IQ97
Q8WUW1	Q8MLQ0
Q7Z4G4	Q960G1
Q8N4P3	Q9VAM9
Q8WUM4	Q9VB05
Q9BTX1	Q9VCG4
O14521	Q9VCI5
Q9UJ70	Q9VF86
Q9BY78	Q9VIK5
Q9H8E8	Q9VJ73
Q7Z7K0	Q9VJJ1
Q96FW1	Q9VL00
Q9P0R6	Q9VNV2
Q99741	Q9VSM9
Q9UPV0	Q9VXK9
Q6PML9	A1Z935
A6NNL5	A4V381
Q7L273	B9A0N7
Q8IWB9	M9PHU7
P51149	O76742
P03891	P03896
P00439	P17276
P35232	P24156
P62829	P48159
O15294	Q7KJA9
P35998	Q7KMQ0
Q9UBQ7	Q8I725
Q49A26	Q8T079
O75907	Q960U8
O76075	Q9V3H0
P49756	Q9V3Y5
Q9BV79	Q9V6U9
Q02153	Q9VA09
Q6ZUK4	Q9VBE7
Q8TAT6	Q9VBP9
Q9Y291	Q9VEV5
Q96GW9	Q9VFL5
Q9H2M9	Q9VKB9
Q15906	Q9VKM6
Q53H82	Q9VLS9
Q14C86	Q9VZ08
O95905	Q9W032
Q8NHP7	Q9W1K4
P57772	Q9W2H0
Q9Y4D2	B7Z150
O14618	E1JH26
P18827	P49415
O75607	Q27415
P22061	Q27869
Q6ZXV5	Q7K4B6
P51948	Q7KPG8
Q9HCN4	Q9V3R3
Q9BRP1	Q9VG62
