Q96Q11	P21269
P25789	P23638
P33991	P30665
Q9Y5Q8	P32367
P26885	P32472
O43148	P32783
P59998	P33204
Q9BYN0	P36077
Q9BV79	P38071
Q15291	P39706
Q9NT62	P40344
Q96T76	P40469
Q99575	P41812
Q6P3X3	P42842
Q9HCN4	P47122
Q9BRG1	P47142
O77932	P53063
Q9GZT8	P53081
Q8WVE0	P53200
Q9H300	P53259
Q8IU60	P53550
O75717	Q01454
P14314	Q04924
O60861	Q05080
Q8NI36	Q06078
Q9Y4C8	Q06106
Q16635	Q06510
Q7RTV0	Q06835
Q15063	Q07895
Q9NX18	Q08230
Q9NUP7	Q12383
P18858	P04819
Q15543	P11747
Q9BW19	P17119
O43172	P20053
P61011	P20424
Q9P2X3	P25637
Q13573	P28004
P37268	P29704
Q6PJP8	P30620
Q8IYB8	P32580
Q13347	P40217
P35606	P41811
Q9NXG2	P53072
Q6PHR2	P53104
Q9UNS1	P53840
O75792	P53942
P62841	Q01855
Q9NWL6	Q04489
O94822	Q04781
P09234	Q05900
Q13216	Q12021
P19623	Q12074
O75486	P06844
Q9NR50	P09032
P18754	P21827
P46199	P25038
Q9UBB4	P25355
Q8N2K1	P33296
Q14204	P36022
Q9NW13	P37838
Q6IA69	P38795
O43159	P38961
P78330	P42941
Q96MV1	P47153
Q9UI30	P53738
Q9H1A4	P53886
Q9Y5R4	P53944
P62312	Q06406
P13716	P05373
P55884	P06103
Q03426	P07277
Q9BXY0	P10962
P47897	P13188
Q9NWT1	P20484
Q96RP9	P25039
Q9NY12	P28007
P33992	P29496
Q92521	P30777
Q969Y2	P32559
Q15435	P36047
Q96E52	P36163
Q8NG68	P38254
P49915	P38625
Q9UBQ0	P38759
Q8NFF5	P38913
Q9BSV6	P39707
Q15257	P40454
Q86YN1	P53223
Q9HCG8	P53333
Q96IV0	Q02890
Q9H8Y5	Q04311
O14737	Q04773
Q9NYJ1	Q05809
P14735	Q06010
O43818	Q06506
Q9UHW5	Q06543
P11717	Q06815
Q2NL82	Q07381
Q9NPE3	Q6Q547
Q8TBQ9	Q8TGJ3
P46776	P02406
P28715	P07276
Q9UK59	P24309
P23025	P28519
O75947	P30902
Q7Z6E9	P35728
Q9UBZ4	P38207
Q9Y4A5	P38811
Q7L5Y9	P40492
Q13286	P47040
P42898	P53128
Q6P1R4	P53759
Q9BW72	Q03713
O00623	Q04370
O75208	Q05779
Q6J4K2	Q12424
P06576	P00830
P11172	P03962
Q13042	P09798
P04040	P15202
Q9UJX2	P16522
P38606	P17255
O00743	P20604
P09601	P32339
Q14534	P32476
Q8NB90	P32794
P48643	P40413
O14777	P40460
Q5VVQ6	P43558
Q9NUH8	P47131
Q7Z6J8	P47172
O00541	P53261
Q5VZE5	Q02197
P60602	Q02889
O00584	Q02933
Q5T6J7	Q03786
